filename,result,duration
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000037.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000038.smt2,UNSAT,0.019
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000039.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000040.smt2,UNSAT,0.019
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000041.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000042.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000043.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000044.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000045.smt2,SAT,1.098
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000046.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000047.smt2,SAT,1.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000048.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000049.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000050.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000051.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000052.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000053.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000054.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000055.smt2,UNSAT,0.034
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000056.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000057.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000058.smt2,SAT,1.007
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000059.smt2,UNSAT,0.020
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000060.smt2,SAT,1.005
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000061.smt2,SAT,1.027
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000062.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000063.smt2,SAT,1.016
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000064.smt2,UNSAT,0.034
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000065.smt2,SAT,1.078
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000066.smt2,SAT,1.015
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000067.smt2,SAT,1.021
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000068.smt2,SAT,1.026
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000069.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000070.smt2,SAT,1.021
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000071.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000072.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000073.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000074.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000075.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000076.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000077.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000078.smt2,UNSAT,0.021
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000079.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000080.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000081.smt2,UNSAT,0.017
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000082.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000083.smt2,UNSAT,0.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000084.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000085.smt2,SAT,1.008
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000086.smt2,SAT,0.993
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000087.smt2,UNSAT,0.020
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000088.smt2,SAT,1.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000089.smt2,SAT,1.022
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000090.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000091.smt2,UNSAT,0.017
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000092.smt2,UNSAT,0.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000093.smt2,UNSAT,0.026
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000094.smt2,SAT,1.993
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000095.smt2,SAT,0.998
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000096.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000097.smt2,SAT,0.991
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000098.smt2,SAT,1.019
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000099.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000100.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000101.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000102.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000103.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000104.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000105.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000106.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000107.smt2,UNSAT,0.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000108.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000109.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000110.smt2,SAT,0.983
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000111.smt2,UNSAT,0.028
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000112.smt2,SAT,1.985
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000113.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000114.smt2,UNSAT,0.021
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000115.smt2,UNSAT,0.017
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000116.smt2,UNSAT,0.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000117.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000118.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000119.smt2,SAT,0.989
/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_mapa/fol_0000120.smt2,UNSAT,0.020
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000001.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000002.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000003.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000004.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000005.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000006.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000007.smt2,SAT,0.008
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000008.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000009.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000010.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000011.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000012.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000013.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000014.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000015.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000016.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000017.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000018.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000019.smt2,SAT,0.008
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000020.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000021.smt2,UNSAT,0.025
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000022.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000023.smt2,UNSAT,0.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000024.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000025.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000026.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000027.smt2,SAT,0.008
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000028.smt2,SAT,0.989
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000029.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000030.smt2,UNSAT,0.026
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000031.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000032.smt2,UNSAT,0.019
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000033.smt2,SAT,0.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000034.smt2,UNSAT,0.016
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000035.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000036.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000037.smt2,SAT,0.008
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000038.smt2,UNSAT,0.019
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000039.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000040.smt2,UNSAT,0.035
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000041.smt2,SAT,0.011
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000042.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000043.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000044.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000045.smt2,SAT,4.673
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000046.smt2,SAT,26.034
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000047.smt2,SAT,26.078
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000048.smt2,SAT,0.017
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000049.smt2,SAT,0.018
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000050.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000051.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000052.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000053.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000054.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000055.smt2,UNSAT,31.285
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000056.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000057.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000058.smt2,SAT,1.021
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000059.smt2,UNSAT,0.015
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000060.smt2,SAT,4.663
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000061.smt2,SAT,4.713
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000062.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000063.smt2,SAT,1.009
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000064.smt2,UNSAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000065.smt2,SAT,4.663
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000066.smt2,SAT,4.593
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000067.smt2,SAT,8.164
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000068.smt2,SAT,8.089
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000069.smt2,SAT,27.828
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000070.smt2,SAT,25.971
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000071.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000072.smt2,SAT,0.073
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000073.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000074.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000075.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000076.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000077.smt2,SAT,0.015
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000078.smt2,UNSAT,41.325
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000079.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000080.smt2,SAT,0.010
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000081.smt2,UNSAT,0.015
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000082.smt2,SAT,0.012
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000083.smt2,UNSAT,3.090
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000084.smt2,SAT,26.380
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000085.smt2,SAT,4.480
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000086.smt2,SAT,8.092
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000087.smt2,UNSAT,7.016
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000088.smt2,SAT,26.621
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000089.smt2,SAT,26.265
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000090.smt2,SAT,0.014
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000091.smt2,UNSAT,0.020
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000092.smt2,UNSAT,3.156
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000093.smt2,UNSAT,3.239
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000094.smt2,SAT,4.479
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000095.smt2,SAT,34.682
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000096.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000097.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000098.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000099.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000100.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000101.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000102.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000103.smt2,SAT,1.051
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000104.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000105.smt2,SAT,7.455
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000106.smt2,SAT,0.022
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000107.smt2,SAT,79.578
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000108.smt2,SAT,0.013
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000109.smt2,SAT,24.739
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000110.smt2,SAT,4.355
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000111.smt2,UNSAT,3.101
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000112.smt2,SAT,24.682
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000113.smt2,SAT,26.628
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000114.smt2,UNSAT,3.171
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000115.smt2,UNSAT,5.022
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000116.smt2,UNSAT,52.676
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000117.smt2,SAT,28.813
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000118.smt2,timeout,100.000
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000119.smt2,SAT,24.795
/home/mudathir/all/sls-reachability/benchmarks/bapa/card/cvc5_mapa/fol_0000120.smt2,UNSAT,36.992
